Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Co-op for sale,498.0,2,2,2184,Queens County,Flushing,40.7843012,-73.7761962,5,8
House for sale,840.0,3,2,1675,New York,The Bronx,40.8611137,-73.8439969,0,16
Co-op for sale,1250.0,2,2,1500,New York County,Manhattan,40.7651694,-73.9667031,1,4
Co-op for sale,845.0,1,1,2184,New York County,Manhattan,40.7617971,-73.9766275,1,4
Multi-family home for sale,890.0,6,5,2184,New York,The Bronx,40.8610016,-73.9014141,0,16
House for sale,949.0,4,2,2172,New York,Brooklyn,40.6142439,-73.9015473,0,3
Co-op for sale,2800.0,2,2,2184,New York County,Manhattan,40.7734427,-73.9647171,1,4
Co-op for sale,699.0,1,1,2184,New York County,Manhattan,40.7780341,-73.9838802,1,4
Pending,225.0,3,1,2184,Kings County,Brooklyn Heights,40.6939582,-73.9943695,3,52
Condo for sale,2800.0,3,3,3341,Kings County,Southside,40.7096014,-73.9682173,3,118
Condo for sale,725.0,2,2,800,Queens County,Flushing,40.7427705,-73.8727516,5,8
Co-op for sale,349.999,2,1,873,Kings County,Sheepshead Bay,40.5844399,-73.9316116,3,43
Co-op for sale,280.0,2,1,1050,Bronx County,West Bronx,40.8724137,-73.8852231,4,72
Multi-family home for sale,689.0,4,2,2184,United States,Bronx County,40.8871714,-73.8506752,7,159
Condo for sale,595.0,2,2,739,Queens County,Flushing,40.72843,-73.81141,5,8
Multi-family home for sale,3200.0,6,2,4360,New York,New York,40.824532,-73.9455086,0,2
Condo for sale,2350.0,2,2,1428,New York County,Manhattan,40.7417244,-73.9835246,1,4
Co-op for sale,369.0,1,1,2184,Queens County,Bayside,40.784673,-73.775263,5,39
Condo for sale,705.0,1,1,631,Queens County,Long Island City,40.771526,-73.933747,5,86
Townhouse for sale,599.999,3,2,1800,New York,Staten Island,40.5916853,-74.0778219,0,1
Co-op for sale,488.888,2,2,2184,Queens County,Flushing,40.7560103,-73.8249483,5,8
Co-op for sale,600.0,2,2,2184,New York County,Manhattan,40.8014385,-73.9434676,1,4
Condo for sale,1300.0,2,2,1125,New York,Brooklyn,40.6936119,-73.9599302,0,3
Pending,925.0,4,4,1672,New York,Staten Island,40.5522652,-74.1732406,0,1
Condo for sale,1675.0,2,2,1294,New York County,Manhattan,40.7631464,-73.9610896,1,4
House for sale,499.998,3,3,2184,New York,The Bronx,40.8102178,-73.858745,0,16
Condo for sale,1395.0,2,2,1065,Queens County,Long Island City,40.7417206,-73.9554071,5,86
Co-op for sale,1450.0,1,2,1100,New York County,Manhattan,40.7388141,-73.9855043,1,4
Multi-family home for sale,1488.0,5,3,1920,New York,Queens,40.737193,-73.900139,0,11
Co-op for sale,439.0,3,1,2184,New York County,Manhattan,40.7482797,-73.9715473,1,4
House for sale,674.999,3,2,1310,New York,Staten Island,40.6213314,-74.1248873,0,1
Pending,925.0,4,4,1672,New York,Staten Island,40.5522652,-74.1732406,0,1
Co-op for sale,329.0,1,1,681,Queens County,Queens Village,40.7564761,-73.7212008,5,91
Condo for sale,1300.0,2,2,1125,New York,Brooklyn,40.6936119,-73.9599302,0,3
House for sale,685.0,3,2,1100,New York,Staten Island,40.5351707,-74.1837439,0,1
House for sale,589.0,3,2,1785,New York,The Bronx,40.8086679,-73.857282,0,16
Co-op for sale,599.0,3,1,2184,New York County,Manhattan,40.7845842,-73.9713866,1,4
Multi-family home for sale,1325.0,4,2,2184,New York,Queens,40.7194145,-73.8918553,0,11
Condo for sale,2495.0,1,2,1218,New York County,Manhattan,40.7298815,-74.0073131,1,4
House for sale,1299.999,6,2,2068,New York,Brooklyn,40.6575904,-73.9264561,0,3
Multi-family home for sale,1050.0,6,4,2134,New York,Brooklyn,40.6231593,-73.9073789,0,3
House for sale,799.0,3,1,2184,New York,Brooklyn,40.6414423,-73.9325148,0,3
Pending,399.0,1,2,1341,Queens County,Glen Oaks,40.7577991,-73.7159564,5,40
Condo for sale,399.0,1,1,771,New York,Queens,40.7335145,-73.8153016,0,11
Condo for sale,1095.0,2,2,1200,New York County,Manhattan,40.7069308,-74.0085978,1,4
Condo for sale,1195.0,1,1,600,New York County,Manhattan,40.7389431,-74.0012691,1,4
Co-op for sale,300.0,3,1,2184,Queens County,Flushing,40.7528037,-73.876822,5,8
Co-op for sale,565.0,1,1,2184,New York County,Manhattan,40.7572719,-73.9620424,1,4
Condo for sale,649.0,3,2,2184,New York,New York,40.761661,-73.9653315,0,2
Condo for sale,815.0,3,2,1039,Kings County,Gravesend,40.6075821,-73.981924,3,74
Multi-family home for sale,1250.0,5,5,2184,New York,Queens,40.7034595,-73.8968832,0,11
Condo for sale,795.0,2,1,759,New York County,Manhattan,40.7747919,-73.9558198,1,4
House for sale,970.0,4,2,2185,New York,Queens,40.6776259,-73.808058,0,11
Co-op for sale,478.0,1,1,750,Kings County,Bay Ridge,40.6347771,-74.0316533,3,37
Multi-family home for sale,999.0,8,3,3786,New York,The Bronx,40.8273908,-73.9031371,0,16
House for sale,2499.0,2,2,1471,New York County,Manhattan,40.76749,-73.9599095,1,4
Condo for sale,460.0,3,1,426,New York County,Manhattan,40.7530103,-73.9712947,1,4
Contingent,669.0,3,2,2115,New York,Staten Island,40.551553,-74.1646289,0,1
House for sale,499.0,2,1,992,New York,The Bronx,40.8960621,-73.8441692,0,16
Pending,1250.0,2,2,2184,New York County,Manhattan,40.7360052,-73.9950777,1,4
House for sale,1000.0,8,3,2184,New York,The Bronx,40.8781863,-73.8629257,0,16
Condo for sale,534.9,1,1,654,Kings County,Sheepshead Bay,40.5869857,-73.9434887,3,43
Multi-family home for sale,1175.0,6,3,2184,New York,Brooklyn,40.6356515,-73.9018458,0,3
Multi-family home for sale,865.0,5,3,1720,New York,Brooklyn,40.6408696,-73.9139282,0,3
Condo for sale,1249.0,4,2,1605,New York,Queens,40.7654814,-73.8178731,0,11
Pending,1500.0,3,2,2184,Kings County,Brooklyn Heights,40.6955436,-73.9936975,3,52
Co-op for sale,495.0,2,2,800,Queens County,Elmhurst,40.7365199,-73.87008,5,9
Co-op for sale,249.0,3,1,2184,Queens County,Elmhurst,40.7420053,-73.8901926,5,9
Co-op for sale,319.0,1,1,2184,Queens County,Rego Park,40.726843,-73.85458,5,14
Co-op for sale,338.0,1,1,800,Queens County,Rego Park,40.7282606,-73.852283,5,14
Co-op for sale,1095.0,3,2,2184,New York County,Manhattan,40.7093215,-74.003525,1,4
Condo for sale,625.0,1,1,2184,Queens County,Astoria,40.767458,-73.9308615,5,92
Condo for sale,1650.0,2,2,1168,Kings County,Fort Greene,40.684488,-73.974384,3,120
Condo for sale,1575.0,1,2,1494,Kings County,Dumbo,40.702988,-73.9907803,3,93
Condo for sale,459.0,3,1,489,Queens County,Flushing,40.7528527,-73.8236711,5,8
Co-op for sale,375.0,2,1,2184,Bronx County,North Riverdale,40.909252,-73.905421,4,13
Co-op for sale,749.0,2,1,2184,New York County,Manhattan,40.7488879,-73.9723947,1,4
Co-op for sale,410.0,2,1,2184,Queens County,Kew Gardens,40.7076599,-73.83116,5,45
Multi-family home for sale,2200.0,6,4,3240,United States,Kings County,40.7070524,-73.9232543,7,19
Co-op for sale,399.0,1,1,681,Kings County,Bay Ridge,40.6351164,-74.0311609,3,37
Pending,549.0,6,4,2184,New York,Queens,40.7478254,-73.8704979,0,11
Co-op for sale,625.0,2,1,1025,Queens County,Jackson Heights,40.7501671,-73.8924608,5,18
Pending,700.0,2,2,1110,Kings County,Homecrest,40.6062808,-73.9595399,3,85
Contingent,495.0,1,1,2184,New York County,Manhattan,40.7714539,-73.960022,1,4
Multi-family home for sale,1399.995,6,5,2184,New York,Brooklyn,40.6842265,-73.9145419,0,3
Co-op for sale,375.0,1,1,920,Kings County,Fort Hamilton,40.614285,-74.0315729,3,12
Co-op for sale,270.0,1,1,2184,Queens County,Jackson Heights,40.7483992,-73.8795703,5,18
Condo for sale,389.99,2,1,886,Richmond County,Midland Beach,40.5795138,-74.1075247,6,134
Multi-family home for sale,1700.0,3,2,2484,New York,The Bronx,40.8467545,-73.8903153,0,16
House for sale,700.0,4,2,1890,New York,The Bronx,40.885187,-73.854142,0,16
Co-op for sale,2695.0,4,2,2184,New York County,Manhattan,40.7942368,-73.9726525,1,4
Townhouse for sale,499.0,3,2,1332,New York,Staten Island,40.6167336,-74.1578631,0,1
Condo for sale,375.0,3,1,500,Queens County,Bayside,40.7781488,-73.782075,5,39
Co-op for sale,559.0,2,1,2184,New York County,Manhattan,40.8589654,-73.9316673,1,4
Co-op for sale,695.0,2,2,1800,New York County,Manhattan,40.7595774,-73.964779,1,4
Multi-family home for sale,715.0,4,2,2052,New York,The Bronx,40.8898133,-73.8379299,0,16
House for sale,929.888,3,2,1070,New York,Queens,40.732592,-73.7077664,0,11
House for sale,948.0,3,2,1368,New York,Queens,40.7604064,-73.882048,0,11
House for sale,999.0,4,2,2184,New York,Queens,40.7243644,-73.8198856,0,11
Multi-family home for sale,2499.0,12,6,2184,United States,Kings County,40.6389895,-73.968352,7,19
Multi-family home for sale,1025.0,7,2,2400,New York,The Bronx,40.8464945,-73.850834,0,16
Co-op for sale,167.999,1,1,2184,Bronx County,Pelham Bay,40.8455961,-73.8264218,4,60
Pending,250.0,3,1,246,New York County,Manhattan,40.7718652,-73.9599302,1,4
Condo for sale,1345.0,1,2,1010,New York County,Manhattan,40.776099,-73.944343,1,4
House for sale,634.999,4,2,1732,New York,The Bronx,40.9028286,-73.8524821,0,16
Co-op for sale,1675.0,2,2,1150,New York County,Manhattan,40.7458303,-73.9991418,1,4
Co-op for sale,410.0,1,1,2184,New York County,Manhattan,40.8028416,-73.9670229,1,4
Co-op for sale,900.0,1,1,2184,New York County,Manhattan,40.7768972,-73.9487946,1,4
Multi-family home for sale,600.0,6,2,1634,New York,The Bronx,40.8403637,-73.870081,0,16
Multi-family home for sale,2599.0,8,2,3120,New York,Brooklyn,40.5992002,-73.9979142,0,3
Co-op for sale,288.0,1,1,2184,Queens County,Forest Hills,40.7245599,-73.84686,5,15
Condo for sale,2750.0,2,2,1856,New York County,Manhattan,40.7730877,-73.9538262,1,4
Co-op for sale,750.0,2,1,920,New York County,Manhattan,40.7398059,-73.982438,1,4
Co-op for sale,2150.0,3,2,1800,New York County,Manhattan,40.7779497,-73.959448,1,4
House for sale,1398.0,4,2,2184,New York,Queens,40.771268,-73.8046173,0,11
Condo for sale,849.0,2,2,937,Kings County,Kensington,40.6305676,-73.9713098,3,55
Condo for sale,995.0,1,1,971,Kings County,Prospect Heights,40.6725244,-73.9631215,3,32
Co-op for sale,899.0,2,1,940,New York County,Manhattan,40.7691866,-73.9544795,1,4
Co-op for sale,519.0,2,1,1100,Kings County,Manhattan Beach,40.5813269,-73.9541649,3,129
Co-op for sale,519.0,2,1,1100,Kings County,Manhattan Beach,40.5813269,-73.9541649,3,129
Condo for sale,995.0,1,1,971,Kings County,Prospect Heights,40.6725244,-73.9631215,3,32
Co-op for sale,659.0,1,1,860,New York County,Manhattan,40.7630774,-73.9685002,1,4
Multi-family home for sale,1080.0,5,2,2570,New York,The Bronx,40.8360249,-73.8189088,0,16
Contingent,599.0,1,1,578,New York County,Manhattan,40.706541,-74.0158244,1,4
Condo for sale,1195.0,1,2,1330,Kings County,Williamsburg,40.7187183,-73.9533885,3,23
Co-op for sale,1059.0,2,2,2184,New York County,Manhattan,40.79001,-73.979014,1,4
Multi-family home for sale,1200.0,9,2,2184,New York,Brooklyn,40.681739,-73.9553364,0,3
Condo for sale,490.0,1,1,730,Brooklyn,Surf Avenue,40.5755355,-73.9735905,8,83
Co-op for sale,580.0,1,1,712,New York County,Manhattan,40.7692372,-73.9589033,1,4
Townhouse for sale,465.0,3,2,1365,New York,Staten Island,40.638522,-74.1646289,0,1
Condo for sale,499.5,3,1,2184,New York County,Manhattan,40.7603031,-73.9610497,1,4
Land for sale,225.0,3,2,2184,New York,Staten Island,40.541076,-74.1706195,0,1
Condo for sale,529.0,3,1,367,New York County,Manhattan,40.705216,-74.0085311,1,4
Co-op for sale,378.023,3,1,2184,New York County,Manhattan,40.7371253,-73.9806613,1,4
