Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
Co-op for sale,0.849,1,1,2184,New York County,Manhattan,40.7802357,-73.9846328
Co-op for sale,0.5595,1,1,800,Kings County,Brighton Beach,40.5751942,-73.9669983
Co-op for sale,0.75,1,1,835,New York County,Manhattan,40.7643711,-73.9593578
Condo for sale,1.9,2,2,1029,New York County,Manhattan,40.7193408,-73.9856438
Condo for sale,1.25,2,2,1201,Kings County,Flatbush,40.6400234,-73.9676099
Condo for sale,1.395,2,2,1182,Kings County,Prospect Heights,40.6787789,-73.9643728
Co-op for sale,0.198,1,1,2184,Queens County,Woodhaven,40.700309,-73.8535466
Contingent,0.619888,3,2,1400,New York,Staten Island,40.5632116,-74.1002521
Multi-family home for sale,1.489,6,2,3780,New York,Staten Island,40.5395319,-74.1450877
Condo for sale,1.595,3,3,1413,New York,Brooklyn,40.6915139,-73.935444
Condo for sale,0.655,3,2,803,New York,Brooklyn,40.6967268,-73.9074036
Condo for sale,1.175,2,2,1115,Kings County,Bedford-Stuyvesant,40.6915139,-73.935444
Multi-family home for sale,0.798,3,4,2150,New York,Staten Island,40.5874844,-74.0701056
Land for sale,1.685,3,2,2184,New York,Queens,40.7083434,-73.9081614
Land for sale,2.55,3,2,2184,New York,Brooklyn,40.5785288,-73.9655666
Land for sale,0.119,3,2,2184,New York,The Bronx,40.8841699,-73.8388387
Foreclosure,0.269,5,2,2184,New York,Queens,40.6534433,-73.741373
Condo for sale,1.65,2,2,1065,New York County,Manhattan,40.7833546,-73.9499982
Condo for sale,1.65,2,2,1065,New York County,Manhattan,40.7833546,-73.9499982
Multi-family home for sale,0.25,5,2,2184,New York,Queens,40.66911,-73.789339
Pending,0.95,6,2,3384,Queens County,Jamaica,40.6499031,-73.7354706
House for sale,0.585,3,2,1100,New York,Staten Island,40.5784263,-74.105437
House for sale,0.595,3,1,1316,New York,Brooklyn,40.6239146,-73.9291226
Condo for sale,0.215,1,1,625,New York County,Manhattan,40.7267732,-74.002538
For sale,0.95,1,1,621,New York,New York,40.7986579,-73.9679035
House for sale,0.314,3,1,1572,New York,Brooklyn,40.6362368,-73.939679
Condo for sale,0.395,5,1,1000,New York,New York,40.7700395,-73.9638872
Multi-family home for sale,0.6,2,2,2184,New York,The Bronx,40.8429545,-73.8249591
Multi-family home for sale,0.79,6,3,2520,New York,Staten Island,40.6105856,-74.1268175
Co-op for sale,0.539,2,2,1100,Kings County,Fort Hamilton,40.6170731,-74.0383836
Co-op for sale,1.295,4,2,1995,Bronx County,Spuyten Duyvil,40.8809873,-73.9224337
House for sale,0.245,3,1,2184,New York,The Bronx,40.8690109,-73.8564445
House for sale,0.4,7,3,2385,New York,The Bronx,40.8969146,-73.8654984
Co-op for sale,0.28,1,1,1000,Kings County,Bay Ridge,40.6241766,-74.0216837
House for sale,0.899,3,2,1440,New York,Staten Island,40.5159004,-74.2314825
For sale,2.28,2,2,1400,New York,New York,40.7986579,-73.9679035
Coming Soon,0.649,4,3,2184,New York,Brooklyn,40.6813429,-73.9981509
Pending,0.739,6,4,2184,New York,Brooklyn,40.5877991,-73.9216187
House for sale,1.495,4,2,3000,New York,Staten Island,40.5247627,-74.1681035
Condo for sale,0.325,2,1,979,New York County,Manhattan,40.7897507,-73.9487257
Pending,0.299999,3,1,2184,New York County,Manhattan,40.7810583,-73.9808407
House for sale,0.694,3,3,1360,New York,Staten Island,40.5423126,-74.1555672
House for sale,0.6888880000000001,4,2,2846,New York,The Bronx,40.8726182,-73.8651768
House for sale,0.4,4,2,1980,New York,Brooklyn,40.665357,-73.8770867
Multi-family home for sale,0.346,5,2,2184,New York,Queens,40.6837891,-73.8381042
House for sale,0.4,4,2,1980,New York,Brooklyn,40.665357,-73.8770867
Multi-family home for sale,0.346,5,2,2184,New York,Queens,40.6837891,-73.8381042
House for sale,0.265,3,1,2184,New York,Queens,40.67538,-73.7472571
House for sale,0.319,3,2,1224,New York,Staten Island,40.5604695,-74.1018925
House for sale,1.1,9,4,3276,New York,New York,40.8307115,-73.9424229
Multi-family home for sale,0.309,6,2,2184,New York,Queens,40.5980695,-73.7632649
House for sale,0.65,3,2,1522,New York,Queens,40.723245,-73.7293286
House for sale,0.799,4,2,1975,New York,Staten Island,40.5387812,-74.193378
Co-op for sale,0.259,3,2,1089,New York,The Bronx,40.8246371,-73.8072061
House for sale,1.195,4,4,2704,New York,Staten Island,40.5143019,-74.2044734
Condo for sale,0.189,2,2,966,Richmond County,Shore Acres,40.6109595,-74.060351
Condo for sale,0.759,3,2,1200,Queens County,Bayside,40.7881763,-73.7877051
House for sale,0.275,4,1,2184,New York,Brooklyn,40.6366859,-73.9488175
Condo for sale,0.499,1,1,630,New York County,Manhattan,40.7702318,-73.9610161
House for sale,1.249,3,2,2184,New York,The Bronx,40.8822913,-73.9137305
Co-op for sale,0.0699,2,1,700,New York,The Bronx,40.8224987,-73.8111568
Multi-family home for sale,1.15,12,6,5508,New York,Queens,40.755049,-73.9136386
Foreclosure,1.7499,5,4,3740,New York,New York,40.824015,-73.9502067
Co-op for sale,1.399,3,4,1993,Queens County,Glen Oaks,40.7566899,-73.72075
Condo for sale,0.649,3,2,1182,Queens County,Fresh Meadows,40.7302938,-73.8059248
House for sale,0.499,5,2,1760,New York,The Bronx,40.8663864,-73.8878945
Multi-family home for sale,1.05,5,4,3132,New York,The Bronx,40.8176549,-73.8197053
Pending,0.09,1,1,660,New York,Staten Island,40.574451,-74.0929448
Townhouse for sale,0.65,3,2,1638,New York,The Bronx,40.8454501,-73.8209766
Condo for sale,0.5,4,3,1794,New York County,Manhattan,40.7905714,-73.9753392
House for sale,0.35,2,1,490,New York,Staten Island,40.5731273,-74.089182
House for sale,1.099,4,2,2184,New York,Queens,40.5595612,-73.9147409
Co-op for sale,0.09,1,1,450,Bronx County,Highbridge,40.8423705,-73.9234444
House for sale,0.839,4,2,2184,New York,Queens,40.6590909,-73.8451972
House for sale,0.659,8,3,2184,New York,Queens,40.688533,-73.796529
House for sale,0.659,8,3,2184,New York,Queens,40.688533,-73.796529
House for sale,0.39999900000000005,3,1,2184,New York,Queens,40.5950021,-73.7577376
Condo for sale,0.25,3,1,2184,Kings County,Sheepshead Bay,40.5997081,-73.9344974
For sale,1.74,2,2,1132,New York,New York,40.7986579,-73.9679035
House for sale,0.65,4,2,2244,New York,Queens,40.6968706,-73.7390395
House for sale,1.165,3,4,3500,New York,Staten Island,40.5397292,-74.2155251
House for sale,0.7299,3,2,1150,New York,Staten Island,40.5302132,-74.1981906
House for sale,1.88,3,4,3150,New York,Brooklyn,40.5805262,-74.0061062
Co-op for sale,0.449,2,2,1549,Queens County,Glen Oaks,40.7577991,-73.7159564
House for sale,1.175,3,2,2250,New York,Queens,40.57372,-73.8577786
House for sale,0.995,3,2,2184,New York,Queens,40.657686,-73.8489131
Condo for sale,2.0,3,2,2000,New York,Rector Place,40.7086444,-74.0161953
Co-op for sale,0.55,1,1,2184,New York County,Manhattan,40.7887084,-73.9700091
Pending,0.769,3,4,2184,New York,Staten Island,40.6291962,-74.1518654
House for sale,0.675,3,2,2400,New York,Brooklyn,40.610206,-73.91065
House for sale,0.879,4,2,1238,New York,Staten Island,40.5273247,-74.1983282
House for sale,0.918888,3,2,2184,New York,Queens,40.760703,-73.880887
Townhouse for sale,2.4,4,2,1892,New York,Brooklyn,40.6674938,-73.9832146
House for sale,1.73,6,2,3024,New York,Queens,40.765022,-73.7422005
Multi-family home for sale,0.425,5,2,2184,New York,The Bronx,40.8159966,-73.8881001
House for sale,2.5,5,2,1450,New York,Queens,40.7679673,-73.8246067
House for sale,0.998,4,4,2000,New York,Staten Island,40.515251,-74.235145
House for sale,1.195,4,4,2688,New York,Staten Island,40.6296431,-74.1005274
House for sale,1.649,3,2,2052,New York,Brooklyn,40.6164182,-74.0142443
House for sale,0.955,4,4,2100,New York,Staten Island,40.551184,-74.1840649
Multi-family home for sale,0.949,6,3,2184,New York,Queens,40.677393,-73.800094
House for sale,0.88,3,2,1743,New York,Queens,40.7668312,-73.7911175
Townhouse for sale,1.25,8,2,2184,New York,New York,40.7600248,-73.9653546
Contingent,0.899999,3,2,1784,New York,Staten Island,40.5788586,-74.11209
Condo for sale,0.198,1,1,750,Queens County,Kew Gardens,40.7127599,-73.83433
House for sale,0.549,5,3,496,New York,The Bronx,40.8679701,-73.836565
House for sale,1.0888879999999999,3,4,1320,New York,Brooklyn,40.6090909,-73.9762651
House for sale,0.888,4,2,2686,New York,The Bronx,40.8130775,-73.8063357
For sale,0.065,3,1,230,New York County,Manhattan,40.7120703,-73.9983258
House for sale,1.449999,3,2,2184,New York,Queens,40.7697773,-73.9014478
Coming Soon,1.695,5,2,2250,New York,Brooklyn,40.686947,-73.9261885
House for sale,2.499,5,2,4100,New York,Queens,40.7107701,-73.8406935
Townhouse for sale,1.97,4,4,2508,New York,Brooklyn,40.6965326,-73.9839654
Co-op for sale,1.895,2,2,2184,Kings County,Park Slope,40.673976,-73.973535
House for sale,0.689,3,2,1248,New York,Staten Island,40.6137764,-74.1600305
House for sale,0.649999,3,2,1440,New York,Staten Island,40.5803331,-74.0885167
House for sale,0.669,3,2,864,New York,Staten Island,40.5993523,-74.0953882
House for sale,0.8,3,2,825,New York,Brooklyn,40.6222734,-73.924094
Co-op for sale,2.375,1,2,2184,New York County,Manhattan,40.7252187,-73.9929764
For sale,2.4,6,6,6688,New York,Brooklyn,40.6738566,-73.9506085
House for sale,0.39,2,1,586,New York,Staten Island,40.574103,-74.0931668
Condo for sale,2.25,1,1,2184,New York County,Manhattan,40.737308,-74.0046666
House for sale,1.45,4,2,2700,New York,Staten Island,40.5273093,-74.1753435
Condo for sale,0.725,2,2,792,Kings County,Bushwick,40.6898164,-73.9062474
Co-op for sale,0.269,1,1,2184,Bronx County,Hudson Hill,40.8968048,-73.9087471
Co-op for sale,0.695,2,2,2184,New York County,Manhattan,40.7651716,-73.9678719
House for sale,1.3,3,2,2184,New York,The Bronx,40.8109146,-73.853921
Co-op for sale,0.459,3,2,1250,New York,Brooklyn,40.5866482,-73.9845156
House for sale,0.689999,3,2,1008,New York,Staten Island,40.621814,-74.1406264
Co-op for sale,0.425,3,2,1405,New York,Queens,40.7381853,-73.8581248
Co-op for sale,1.525,2,2,2184,New York County,Manhattan,40.784623,-73.9826586
Multi-family home for sale,1.499,9,6,3519,New York,Brooklyn,40.583514,-73.9738903
Co-op for sale,0.695,2,2,2184,New York County,Manhattan,40.7651716,-73.9678719
House for sale,1.3,3,2,2184,New York,The Bronx,40.8109146,-73.853921
Co-op for sale,0.269,1,1,2184,Bronx County,Hudson Hill,40.8968048,-73.9087471
Co-op for sale,0.425,3,2,1405,New York,Queens,40.7381853,-73.8581248
Multi-family home for sale,1.499,9,6,3519,New York,Brooklyn,40.583514,-73.9738903
House for sale,0.519,3,2,1480,New York,Staten Island,40.5939378,-74.1843153
Co-op for sale,0.358,2,1,2184,Queens County,Bayside,40.7855174,-73.7797613
Co-op for sale,0.975,3,1,2184,New York County,Manhattan,40.7455051,-74.0016003
Co-op for sale,0.498,2,1,975,Kings County,Bay Ridge,40.6351164,-74.0311609
Co-op for sale,0.385,1,2,900,Queens County,Bayside,40.7839299,-73.77643
Multi-family home for sale,0.999,6,2,3144,New York,The Bronx,40.8451067,-73.8601577
Co-op for sale,0.399,1,1,2184,Queens County,Flushing,40.7531191,-73.8818757
Contingent,0.599,4,4,2800,New York,Staten Island,40.5387352,-74.1423893
House for sale,0.8298880000000001,4,2,1800,United States,Richmond County,40.521278,-74.2230351
Townhouse for sale,0.699998,3,2,1548,New York,Staten Island,40.5953144,-74.1628286
Co-op for sale,1.088,5,2,2184,Queens County,Flushing,40.7186003,-73.8453488
House for sale,0.999,6,2,1280,New York,The Bronx,40.8808173,-73.8350832
Multi-family home for sale,1.188888,15,9,2184,New York,Queens,40.7075546,-73.9036964
Co-op for sale,0.265,1,1,700,Queens County,Bayside,40.7824499,-73.7765099
Co-op for sale,0.288,1,1,845,Kings County,Sheepshead Bay,40.5894827,-73.9395372
Co-op for sale,0.999995,3,2,1750,New York County,Manhattan,40.7640501,-73.964336
Co-op for sale,1.495,2,2,1350,New York County,Manhattan,40.7708195,-73.9595235
Co-op for sale,0.925,1,1,1000,New York County,Manhattan,40.7699425,-73.9583558
Co-op for sale,0.349,2,1,2184,Queens County,Jamaica,40.7050355,-73.8241699
Condo for sale,2.0,4,4,3000,New York County,Manhattan,40.7573479,-73.9614914
Condo for sale,0.839,3,2,1376,New York,Brooklyn,40.5905451,-73.9910402
Co-op for sale,0.329,1,1,820,Queens County,Forest Hills,40.7157399,-73.83672
Multi-family home for sale,0.899,6,3,3683,New York,The Bronx,40.8796143,-73.856153
House for sale,0.615,3,2,2184,New York,Brooklyn,40.6610456,-73.9019953
Condo for sale,0.8,2,2,1257,New York County,Manhattan,40.7917785,-73.9406204
Condo for sale,0.43,2,2,1248,Richmond County,Mid Island,40.6123868,-74.1511288
Contingent,0.499,3,2,1288,New York,Staten Island,40.6166867,-74.1576647
Co-op for sale,0.4395,3,2,1400,Queens County,Kew Gardens,40.7047878,-73.8344551
Co-op for sale,0.299,1,1,2184,Queens County,Kew Gardens,40.7123992,-73.8339305
House for sale,2.58,8,2,6493,New York,Staten Island,40.6050685,-74.0969483
Condo for sale,0.2,1,1,613,New York,The Bronx,40.840459,-73.8542045
Co-op for sale,0.425,3,1,2184,New York County,Manhattan,40.8189893,-73.953108
Co-op for sale,0.069,1,1,850,Bronx County,Highbridge,40.8366623,-73.9239586
Condo for sale,1.995,3,2,1546,New York County,Manhattan,40.8018548,-73.9672877
Co-op for sale,0.23,1,1,620,New York County,Manhattan,40.8028416,-73.9670229
Co-op for sale,0.22,1,1,590,Queens County,Jamaica,40.7130136,-73.8230375
Co-op for sale,0.198,3,1,2184,Queens County,Flushing,40.756144,-73.8213672
Co-op for sale,1.495,1,2,2184,New York County,Manhattan,40.7382884,-73.9851838
Co-op for sale,0.475,1,1,615,New York County,Manhattan,40.7779975,-73.9445342
Co-op for sale,0.1999,2,1,2184,Queens County,Rosedale,40.6779049,-73.733881
House for sale,1.15,2,2,1444,New York,Staten Island,40.5882505,-74.1087291
House for sale,1.575,3,2,2184,New York,Brooklyn,40.6683947,-73.9762195
Co-op for sale,0.229,1,1,2184,Queens County,Jackson Heights,40.7562792,-73.8758052
Condo for sale,0.32,2,2,936,Bronx County,East Bronx,40.8236857,-73.8611313
Co-op for sale,0.295,2,1,700,Kings County,Midwood,40.6196386,-73.9707307
House for sale,0.55,3,2,2184,New York,Brooklyn,40.6498755,-73.9375091
Condo for sale,0.285,2,1,1000,Bronx County,Parkchester,40.8362269,-73.8612346
Co-op for sale,0.328,1,1,800,Queens County,Flushing,40.743059,-73.880983
Multi-family home for sale,1.388,4,3,2184,New York,Queens,40.774158,-73.7957477
Multi-family home for sale,2.1988879999999997,7,6,2184,New York,Queens,40.7032697,-73.9088462
Multi-family home for sale,0.65,6,2,2310,New York,The Bronx,40.8244358,-73.8633737
Condo for sale,1.1,1,2,890,New York County,Manhattan,40.7598542,-73.9874427
Co-op for sale,0.849,2,1,800,Kings County,Park Slope,40.6662599,-73.9870141
Co-op for sale,0.56,3,1,550,New York County,Manhattan,40.777244,-73.9868738
Condo for sale,1.1,1,2,890,New York County,Manhattan,40.7598542,-73.9874427
Co-op for sale,0.849,2,1,800,Kings County,Park Slope,40.6662599,-73.9870141
Co-op for sale,0.418888,2,1,900,Kings County,Borough Park,40.6339124,-74.0058434
Multi-family home for sale,0.899,8,2,2160,New York,The Bronx,40.8728082,-73.8469489
Multi-family home for sale,0.979,8,3,2860,New York,Brooklyn,40.6597134,-73.9195979
Co-op for sale,0.199,1,1,2184,Queens County,Forest Hills,40.7282899,-73.8472
For sale,0.815,3,1,2184,New York County,Manhattan,40.751918,-73.9698335
Condo for sale,1.025,1,1,800,New York County,Manhattan,40.7712538,-73.950858
Condo for sale,1.375,1,2,920,New York County,Manhattan,40.7645034,-73.9648503
Condo for sale,0.875,3,2,1437,New York County,Manhattan,40.8539526,-73.9345678
Multi-family home for sale,1.35,6,3,3000,New York,Brooklyn,40.5902653,-73.9455056
For sale,0.989,7,3,2184,New York,Brooklyn,40.6360957,-73.9018295
Multi-family home for sale,0.815156,4,4,2945,New York,Staten Island,40.6402659,-74.110402
Multi-family home for sale,1.949,3,5,2560,New York,Brooklyn,40.5813374,-73.9589282
Multi-family home for sale,0.669,5,2,1893,New York,Queens,40.5967151,-73.7696424
Multi-family home for sale,0.9005,4,2,2184,New York,Brooklyn,40.6468871,-73.8907758
Co-op for sale,1.465,3,3,2184,New York County,Manhattan,40.7701914,-73.9590118
For sale,0.899,3,1,1100,New York County,Manhattan,40.7604194,-73.9968086
Condo for sale,1.1,1,1,726,New York County,Manhattan,40.7078844,-74.0140879
Multi-family home for sale,1.199,6,5,2184,New York,Queens,40.6662035,-73.8525027
For sale,0.325,2,1,2184,New York County,Manhattan,40.7989043,-73.9604812
Multi-family home for sale,0.599,4,3,1176,United States,Richmond County,40.638069,-74.1627747
Multi-family home for sale,1.23,4,3,2184,New York,Queens,40.700194,-73.8907488
Multi-family home for sale,1.35,10,5,3383,New York,Brooklyn,40.6828535,-73.8769965
House for sale,0.799,5,3,1800,New York,Brooklyn,40.6336127,-73.9276041
House for sale,1.599,5,3,5600,New York,Staten Island,40.5813757,-74.1131912
House for sale,1.2999,4,4,2755,New York,Staten Island,40.5065922,-74.2393503
Co-op for sale,0.37,1,1,2184,Kings County,Brooklyn Heights,40.6939582,-73.9943695
For sale,0.003225,3,1,2184,New York County,Manhattan,40.8434062,-73.9407947
Multi-family home for sale,0.86,5,3,2324,New York,Brooklyn,40.5768936,-74.0048793
House for sale,0.765,3,4,2205,New York,Staten Island,40.611142,-74.0905357
Co-op for sale,0.259,1,1,750,Kings County,Little Haiti,40.6491203,-73.9440658
Multi-family home for sale,1.5,8,3,3135,New York,Brooklyn,40.6471477,-73.9489423
Condo for sale,0.85,2,2,1005,New York County,Manhattan,40.856444,-73.9377616
For sale,0.002494,2,1,2184,New York County,Manhattan,40.8434062,-73.9407947
Condo for sale,0.099,1,1,2184,Kings County,Canarsie,40.6372545,-73.9002674
Co-op for sale,0.535,1,1,750,Kings County,Kensington,40.6453011,-73.9723049
Multi-family home for sale,0.849998,4,2,2342,New York,Staten Island,40.5487767,-74.1629254
For sale,1.1,2,2,2184,New York County,Manhattan,40.807426,-73.9535703
Multi-family home for sale,0.998,5,3,1574,New York,Queens,40.7190856,-73.9060914
Multi-family home for sale,1.5,3,2,2184,New York,Brooklyn,40.634316,-73.9462919
Multi-family home for sale,0.875,6,3,2860,New York,The Bronx,40.8920958,-73.8487361
Condo for sale,2.35,1,2,1144,New York,New York,40.7449256,-74.0057175
Multi-family home for sale,0.85,5,2,1908,New York,The Bronx,40.8979269,-73.8463057
Co-op for sale,1.2,3,2,2184,New York County,Manhattan,40.7687538,-73.9631311
Co-op for sale,1.3,2,2,2184,New York County,Manhattan,40.7895034,-73.9769713
For sale,0.799,3,1,585,New York County,Manhattan,40.7804721,-73.9871434
Co-op for sale,0.339,3,1,250,New York County,Manhattan,40.7488879,-73.9723947
Multi-family home for sale,0.875,7,5,2680,New York,The Bronx,40.8270095,-73.8766285
Multi-family home for sale,0.799,7,2,2296,New York,The Bronx,40.8333931,-73.8727914
Multi-family home for sale,0.799,7,2,2296,New York,The Bronx,40.8333931,-73.8727914
House for sale,0.285,2,1,1380,New York,Queens,40.7128326,-73.7435779
Multi-family home for sale,2.499,5,4,1340,New York,Brooklyn,40.6962962,-73.9720502
Townhouse for sale,0.795,4,2,1440,New York,New York,40.8767388,-73.911189
Co-op for sale,1.7999949999999998,2,2,2184,New York County,Manhattan,40.7708932,-73.9586258
House for sale,0.25,3,2,1224,New York,Queens,40.6505528,-73.8316736
Pending,0.668,3,2,1606,New York,Queens,40.7299787,-73.7310756
House for sale,0.6999,3,2,1470,New York,Staten Island,40.6153952,-74.1610855
Condo for sale,2.265,2,2,1123,New York County,Manhattan,40.710456,-73.991235
Co-op for sale,0.459,2,1,950,Queens County,Flushing,40.7607942,-73.8258766
Multi-family home for sale,1.369,4,2,2900,New York,Staten Island,40.5239722,-74.2213406
House for sale,0.879,4,2,2184,New York,Queens,40.7294367,-73.7125595
Condo for sale,0.559,1,1,679,New York,East 110th Street,40.7945743,-73.9434214
Multi-family home for sale,0.869888,4,3,2184,New York,Queens,40.7019014,-73.8256776
House for sale,0.799888,3,2,2184,New York,Queens,40.7138975,-73.8970229
House for sale,0.749,4,1,1040,New York,Staten Island,40.6165347,-74.1507186
House for sale,0.499,2,3,2184,New York,Queens,40.6886004,-73.7568067
House for sale,1.295,3,4,2193,New York County,Manhattan,40.7895034,-73.9769713
Pending,0.8799,3,2,2242,New York,Staten Island,40.5409077,-74.1964937
Co-op for sale,0.4,2,2,1150,New York,The Bronx,40.8131429,-73.808397
Multi-family home for sale,0.699999,6,2,2184,New York,The Bronx,40.8524948,-73.9151397
Condo for sale,0.289,1,1,666,Kings County,East New York,40.6541622,-73.8846778
Condo for sale,0.699,1,1,616,Kings County,Bedford-Stuyvesant,40.6826476,-73.9434923
Land for sale,0.0058,3,2,2184,Kings County,Flatlands,40.618915,-73.931211
Foreclosure,0.479,6,2,3100,New York,Staten Island,40.6268305,-74.1471405
Condo for sale,1.355,2,2,1002,Kings County,Bedford-Stuyvesant,40.6826476,-73.9434923
Condo for sale,1.225,2,2,882,Kings County,Bedford-Stuyvesant,40.6826476,-73.9434923
Co-op for sale,0.105,3,1,656,Bronx County,East Bronx,40.8560699,-73.8688751
House for sale,0.3,3,1,952,United States,Kings County,40.6162917,-73.929914
Multi-family home for sale,0.799,5,3,2400,New York,The Bronx,40.8181836,-73.812739
Co-op for sale,0.202,2,1,1453,Queens County,Bayside,40.7802813,-73.7818912
Contingent,0.72,3,2,1430,New York,Staten Island,40.6149561,-74.0745548
House for sale,0.6,5,2,2184,New York,Brooklyn,40.6422956,-73.972787
Co-op for sale,0.599,3,1,1200,Kings County,Bay Ridge,40.6279352,-74.0260154
Condo for sale,0.235,2,1,860,Richmond County,Mid Island,40.6192765,-74.09515
Co-op for sale,0.319,3,1,960,New York,Queens,40.7598591,-73.7290086
Multi-family home for sale,0.95,12,6,2184,New York,Queens,40.7000145,-73.9010076
Multi-family home for sale,1.0888879999999999,4,2,2184,New York,Queens,40.7860789,-73.7928524
House for sale,1.25,4,4,3300,New York,Staten Island,40.5675492,-74.140764
Land for sale,0.65,3,2,2184,New York,Brooklyn,40.6799197,-73.8839962
House for sale,0.774888,3,2,960,New York,Staten Island,40.5525576,-74.1709014
Co-op for sale,0.105509,1,1,650,Bronx County,Spuyten Duyvil,40.879078,-73.9175196
Multi-family home for sale,0.995,5,2,2184,New York,Brooklyn,40.6862289,-73.9364224
Multi-family home for sale,0.995,5,2,2184,New York,Brooklyn,40.6862289,-73.9364224
House for sale,0.769,4,2,1728,New York,The Bronx,40.8152029,-73.8154969
Co-op for sale,0.395995,2,1,1100,Bronx County,North Riverdale,40.9048823,-73.9051113
